,id,corpusName,corpusAcronym,corpusAcronym_comments,corpusLink,corpusLanguage,corpusLanguage_comments,corpusTextCount,"corpusTextCount 
(=Docs in Corpus)_comments",corpusWordCount,"corpusWordCount 
(words in corpus)_comments
[Vera Maria Charvat:
actually: We did not differentiate between words (sometimes not clear if duplicates are included or not) and tokens (all words, including duplicates)]",corpusTimespan,corpusTimespan_comments,corpusFormat/Schema,corpusFormat/Schema_consolidatedVocab,corpusFormat/Schema_comments,corpusAnnotation,corpusAnnotation_consolidatedVocab,corpusLiteraryGenre,corpusLiteraryGenre_consolidatedVocab,corpusLiteraryGenre_comments,corpusType,corpusType_consolidatedVocab,corpusLicence,corpusLicence_consolidatedVocab,corpusLicence_comments,additionalInfo / commentary,sourceOfInformation,editor/contributor,descEvent_start,descEvent_end
23,24,The CLiGS textbox,CLiGS,artificial_acronym,https://github.com/cligs/textbox,"French, Spanish",,,,,,,,TEI,TEI,,,,,,,based on a Research Question,specialized,CC BY-SA 4.0,Creative Commons Attribution Share Alike 4.0 International,,,Homepage (Github),"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
24,25,Perseus digital library,Perseus,artificial_acronym,http://www.perseus.tufts.edu/hopper/collections,"Greek, Roman, Arabic",,,,,,,,TXT,TXT,,,,,,,Digital Critical Edition,digital critical edition,,,"Vera Maria Charvat:
Homepage: ""Our copyright agreements with the publishers of our texts do not permit us to offer full text downloading for all works in Perseus at this time. Texts for which XML downloads are available are indicated as such by a creative commons license and links to download options. You will find these in the center of a text viewing page, below the main focus text. We do not offer other formats for texts at this time.""",,"Homepage, Review","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
25,26,Reference corpus Altdeutsch,DiaGer,artificial_acronym,https://doi.org/10.34644/laudatio-dev-WiWkDnMB7CArCQ9CyBEw,Diachronic German,,129.0,,650000,,750–1050,,"TEI, ELAN, ANNIS","TEI, ELAN, ANNIS","Vera Maria Charvat:
ANNIS (custom linguistic search and visualization tool)","POS, ""Flexionsmorphologie""","part of speech tag, morphological category",,"epic, lyric",,Reference Corpus,reference,CC BY-NC-SA 3.0,Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0),,"Homepage (DE): ""Das Referenzkorpus Altdeutsch erfasst und annotiert die ältesten Sprachdenkmäler des Deutschen vom Beginn der kontinuierlichen schriftlichen Überlieferung um 750 bis etwa 1050 mit einem Umfang von ca. 650 000 Textwörtern. Aufgenommen werden alle in dieser Zeit überlieferten Texte des Althochdeutschen und des Altsächsischen in einer möglichst genauen Wiedergabestufe. Dabei werden die handschriftengetreuesten gedruckten Texteditionen zugrundegelegt. Die Annotation erfasst Header-Informationen, strukturelle (Wort, Satz, Zeile, Absatz etc.) und linguistische Annotationen (Part of Speech-Tagging, Flexionsmorphologie) sowie syntaktische Satzinformationen und erfolgt mit Unterstützung einer semi-automatischen Vorannotation, die mit Hilfe der digitalisierten Sprachstufen- und Textwörterbücher und Glossare zum Althochdeutschen und zum Altsächsischen erzeugt wurde. Die verschiedenen Stufen der Annotation werden in Form einer Mehrebenenarchitektur aufeinander bezogen.""
Commentary: one of the corpora provided by the laudatio repository",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
26,27,Stanford Literary Lab,StanfordLitLab,artificial_acronym,https://litlab.stanford.edu/,,,,,,,,,,,,,,,,,,,,,,"Homepage: ""The Stanford Literary Lab is a research collective that applies computational criticism, in all its forms, to the study of literature.""
Commentary: No texts available, no possibility of download, just textual information about projects",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
27,28,Théâtre Classique,TheaClass,artificial_acronym,http://www.theatre-classique.fr/pages/programmes/PageEdition.php,French,,1620.0,,12980645,,1601–1800,,TEI,TEI,"Vera Maria Charvat:
in TEI, but not available",,,"""Tragédies, Comédies, Proverbes, Tragi-comédies, Monologue, Drame, Saynètes, Opéras, Parodie, Pastorales, Parades""",drama,,Monitor Corpus,monitor,,,,"Proposal: ""Théâtre Classique: 1.350 plays (from 17th and 18th century)""
Commentary: TEI with tei-all invalid, undocumented customizations (M. Goebel set up a pipeline to do a cleaned up ingest into dracor); from 17th and 18th century; homepage is entirely in French.","Proposal, Homepage, Review, personal information from project teammembers","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
28,29,Shakespeare His Contemporaries,SHC,artificial_acronym,https://github.com/JonathanReeve/corpus-SHC,,,509.0,"Vera Maria Charvat:
proposal: 853, homepage: 509",,,1550–1660,"Vera Maria Charvat:
proposal: 1550–1700; homepage: 1550-1660",TEI,TEI,,"homepage: tokenized, linguistically annotated","token, linguistically annotated",drama,drama,,Monitor Corpus,monitor,,,,"Proposal: ""Shakespeare His Contemporaries: 853 plays written between 1550–1700""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
29,30,Letteratura teatrale nella Biblioteca italiana,LTItal,artificial_acronym,http://www.letteraturaitaliana.net/autori/carlo_goldoni.html,Italian,,139.0,,,,13.Jh-today,,TEI,TEI,"Vera Maria Charvat:
Information from proposal",,,"drama, plays",drama,,,,,,,"page in Italian, not very informative","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
30,31,Dramawebben,DramaWebben,artificial_acronym,https://litteraturbanken.se/dramawebben,"Swedish, Latin, French, German, English","Vera Maria Charvat:
Dropdown of the Search offers: Latin, French, German, Swedish, English, modernised language, proofread, not proofread",8234.0,"Vera Maria Charvat:
Info from Proposal: 62;
HP-Info: 
The literature bank currently contains
about
    8234 works
    3373 authors
    293 232 pages etext
    1 482 904 pages facsimile
    394 190 260 words
    1229 epub files",394190260,,1248–today,,TEI,TEI,"Vera Maria Charvat:
Information from proposal","Homepage search lists the following possiblities:
Search for a word or phrase, include conjugation forms, include older spellings, search by word meaning, search for word endings, search by part of speech""","phrase, conjugation form, spelling, word meaning, word ending, part of speech tag","drama, plays",drama,,Monitor Corpus,monitor,,,,"Proposal: ""Dramawebben: 62 Swedish plays""
Commentary: It looks as if Dramawebben is only one collection of the ""litteraturbanken""; files are available as e-pub; available in SweDraCor","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
31,32,Ludvig Holbergs skrifter,LHS,,http://holbergsskrifter.dk/holberg-public/view?docId=adm/main.xml,"Danish, Latin",,86.0,"Vera Maria Charvat:
36 comedies, 50 other texts",,,,"Vera Maria Charvat:
1684–1754 dates of birth/death of Holberg",TEI,TEI,,,,"comedies, historical works, non-fiction/prose, essays, writings related to comedies, autobiography","epic, lyric, drama",,Monitor Corpus,monitor,,,,"Proposal: ""Ludvig Holbergs skrifter: 36 comedies""
Commentary: no info if texts are downloadable, seems you can only look at the texts online, no XML Files available, but there is a doku (in Danish), see additional link","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
32,33,Biblioteca Electrónica Textual del Teatro en Español de 1868–1936,BETTE,,https://github.com/HDAUNIR/BETTE,Spanish,,25.0,,,,1868–1936,,TEI (P5),TEI P5,,"acotaciones, nombre de personajes, lista de personajes, referencias a nombres de personajes (mediante nombre propio) dentro del texto, cursiva, encabezamientos, paratextos iniciales y finales 
(translation: annotations, name of characters, list of characters, references to character names (by proper name) within the text, italics, headings, initial and final paratexts)",name of character,"drama, plays",drama,,Monitor Corpus,monitor,,,,"Proposal: ""Biblioteca Electrónica Textual del Teatro en Español de 1868–1936 (BETTE): 25 Spanish plays""
Commentary: contained in SpanDraCor; metadata encoded in TEIHeader; VIAF IDs","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
33,34,Emothe: The Classics of Early Modern European Theatre,EMOTHE,,https://emothe.uv.es/en/,"Italian, English, French, Spanish",,113.0,,,,,,TEI,TEI,,,,"drama, plays",drama,,Monitor Corpus,monitor,,,,"Proposal: ""Emothe: The Classics of Early Modern European Theatre: 113 plays incl. translations (Italian, English, French, Spanish)""
Commentary: certificate on homepage has expired (page not safe?)",Proposal,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
34,35,British Women Romantic Poets,BWRP,artificial_acronym,https://digital.lib.ucdavis.edu/projects/bwrp/,English,,,,,,1789–1832,,TEI,TEI,"Vera Maria Charvat:
Proposal: TEI XML driven",,,poems,lyric,,General-Purpose Collection,general,,,,"Proposal: ""British Women Romantic Poets, 1789–1832""
Commentary: Currently only an older version is available. On the starting page, a note says ""The British Women Romantic Poets archive is being transitioned to a new home. This page will automatically redirect to the new location when it becomes available.""; 
Homepage: ""Last content update May 23, 2001.""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
35,36,Diachronic Spanish Sonnet Corpus,DISCO,,http://prf1.org/disco/,Spanish,,4303.0,"Vera Maria Charvat:
proposal: ca. 4000, homepage: 4303",,,1401–1900,,TEI,TEI,"Vera Maria Charvat:
Proposal: TEI XML driven",,,"poems, sonnets",lyric,,Monitor Corpus,monitor,CC-BY licence,,,"Proposal: ""DISCO (Diachronic Spanish Sonnet Corpus, over 4,000 sonnets by more than 1,000 authors, incl. canonical as well as non-canonical authors, 15th to the 19th century)""
Homepage (about-section): 15th to the 19th century; over 4,000 sonnets by more than 1,000 authors, incl. canonical as well as non-canonical authors; ""The raw texts were in most cases extracted from Biblioteca Virtual Miguel de Cervantes (1999), with some 18th-century texts coming from Wikisource.""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
36,37,Freiburger Anthologie,FRAN,artificial_acronym,http://freiburger-anthologie.de/,German,,1300.0,,,,1720–1900,,TEI,TEI,"Vera Maria Charvat:
Proposal: TEI XML driven",,,poems,lyric,,,,,,,"Proposal: ""Freiburger Anthologie (1.300 German-language poems from 1720–1900)""
Commentary: network timeout; page not reachable",Proposal,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
37,38,Poetess Archive,PoetessArchive,artificial_acronym,https://poetessarchive.org/,English,,4000.0,"Vera Maria Charvat:
over 4000 entries",,,1750–1900,,TEI,TEI,"Vera Maria Charvat:
Proposal: TEI XML driven",,,poems,lyric,,General-Purpose,general,,,,"Proposal: ""Poetess Archive (flowery poetry written in Britain and America between 1750–1900)""
Homepage: ""Work Flow: Every bibliographic entry in the Poetess Archive has been made into a TEI-encoded page (see ""Editorial Principles"" for more about TEI). We have created TEI templates and will continue to create them for those who wish to submit texts already encoded, but we accept submissions of any kind, and then TEI-encode them here. After that work, the TEI pages are:
- created into HTML presenetation pages;
- entered into our Oracle database;
- made into RDFs so that the Poetess Archive Database is interoperable with NINES using the NINES COLLEX TOOL.""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
38,39,Russian Poetic Corpus,RusPoet,artificial_acronym,https://ruscorpora.ru/new/en/search-poetic.html,Russian,,,,,,,,TEI,TEI,"Vera Maria Charvat:
Proposal: TEI XML driven",,,poems,lyric,,Reference Corpus,reference,,,,"Proposal: ""Russian Poetic Corpus (part of the Russian National Corpus)""
Homepage: ""The Poetry corpus, which facilitates searches not only by lexical and grammatical features but also by specifically poetical features, such as meter, rhyme types, etc,""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
39,40,"Corpus Sonetos del Siglo de Oro, ed. Borja Navarro Colorado",SonetSiglo,artificial_acronym,https://github.com/bncolorado/CorpusSonetosSigloDeOro,Spanish,,5000.0,"Vera Maria Charvat:
more than 5000",,,1500–1700,,TEI,TEI,"Vera Maria Charvat:
Proposal: TEI XML driven",metrical patterns,metrical scheme,"poems, sonnets",lyric,,Monitor Corpus,monitor,CC BY-NC 4.0,Creative Commons Attribution Non Commercial 4.0 International,,"Proposal: ""Corpus Sonetos del Siglo de Oro, ed. Borja Navarro Colorado (more than 5000 Spanish sonnets, ca. 1500-1700, with metrical annotation)""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
40,41,"TextGrid Repository, including “Digitale Bibliothek”",TextGrid,,https://textgrid.de/digitale-bibliothek,German,,,,,,,,TEI,TEI,,,,,,"Vera Maria Charvat:
multigenre/various",Monitor Corpus,monitor,CC BY 3.0 DE,Attribution 3.0 Germany (CC BY 3.0 DE),,"Proposal: ""Multi-genre repositories with TEI-encoded texts"" ""TextGrid Repository, including “Digitale Bibliothek” (all texts in TEI)""
Homepage: ""Literatur, Märchen, Geschichte, Kulturgeschichte, Kunst, Musik, Philosophie, Soziologie, Nachschlagewerke""
Commentary: more detailed info might be in the Gitlab-repo","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski",2022-04-14,2022-06-15
